id,user_id,package_id,package_name,package_price,package_days,model,model_id,model_name,with_partner,payment_method,date,start_time,end_time,session_number,status,reservation_id,created_at,updated_at
111,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-01,12:00:00,13:00:00,1,scheduled,288.0,2025-06-30 13:07:03,2025-06-30 13:07:03
112,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-15,12:00:00,13:00:00,2,scheduled,288.0,2025-06-30 13:07:03,2025-06-30 13:07:03
113,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-29,12:00:00,13:00:00,3,scheduled,288.0,2025-06-30 13:07:03,2025-06-30 13:07:03
114,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-05,12:00:00,13:00:00,4,scheduled,288.0,2025-06-30 13:07:03,2025-06-30 13:07:03
115,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-19,12:00:00,13:00:00,5,scheduled,288.0,2025-06-30 13:07:04,2025-06-30 13:07:04
116,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-26,12:00:00,13:00:00,6,scheduled,288.0,2025-06-30 13:07:04,2025-06-30 13:07:04
117,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-12,12:00:00,13:00:00,7,scheduled,288.0,2025-06-30 13:07:04,2025-06-30 13:07:04
118,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-08,12:00:00,13:00:00,8,scheduled,288.0,2025-06-30 13:07:04,2025-06-30 13:07:04
119,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-22,12:00:00,13:00:00,9,scheduled,288.0,2025-06-30 13:07:04,2025-06-30 13:07:04
120,409,19,10 Sessions,200000.0,10.0,instructor,10,,0.0,Visa,2025-07-06,14:00:00,15:00:00,1,scheduled,289.0,2025-07-02 12:12:44,2025-07-02 12:12:44
121,155,13,1 Session,15000.0,1.0,studio,2,,0.0,cash,2025-07-07,18:00:00,19:00:00,1,scheduled,291.0,2025-07-06 00:26:33,2025-07-06 00:26:33
127,409,19,10 Sessions,200000.0,10.0,instructor,10,,0.0,cash,2025-07-30,14:00:00,15:00:00,1,scheduled,297.0,2025-07-16 15:34:00,2025-07-16 15:34:00
128,305,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-17,09:00:00,10:00:00,1,scheduled,298.0,2025-07-17 07:29:57,2025-07-17 07:29:57
129,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-21,11:00:00,12:00:00,1,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
130,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-22,11:00:00,12:00:00,2,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
131,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-24,11:00:00,12:00:00,3,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
132,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-28,11:00:00,12:00:00,4,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
133,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-29,11:00:00,12:00:00,5,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
134,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-31,11:00:00,12:00:00,6,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
135,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-04,11:00:00,12:00:00,7,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
136,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-05,11:00:00,12:00:00,8,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
137,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-07,11:00:00,12:00:00,9,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
138,419,2,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-11,11:00:00,12:00:00,10,scheduled,299.0,2025-07-21 12:04:32,2025-07-21 12:04:32
139,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-24,11:00:00,12:00:00,1,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
140,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-25,11:00:00,12:00:00,2,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
141,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-30,11:00:00,12:00:00,3,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
142,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-04,11:00:00,12:00:00,4,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
143,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-01,11:00:00,12:00:00,5,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
144,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-31,11:00:00,12:00:00,6,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
145,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-28,11:00:00,12:00:00,7,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
146,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-07-29,11:00:00,12:00:00,8,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
147,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-05,11:00:00,12:00:00,9,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
148,405,19,10 Sessions,200000.0,10.0,instructor,9,,0.0,cash,2025-08-06,11:00:00,12:00:00,10,scheduled,300.0,2025-07-24 19:09:29,2025-07-24 19:09:29
149,672,13,1 Session,15000.0,1.0,studio,,,0.0,cash,2025-03-05,18:00:00,18:30:00,10,scheduled,,2025-03-05 18:18:31,2025-03-05 18:18:31
150,146,19,10 Sessions,200000.0,,nan,,,,orange_money,2025-04-12,13:15:00,14:15:00,2,scheduled,,2025-04-12 18:18:31,2025-04-12 18:18:31
151,394,17,1 Private Session,25000.0,1.0,studio,,,0.0,card,2025-04-23,17:30:00,18:15:00,7,scheduled,,2025-04-23 18:18:31,2025-04-23 18:18:31
152,724,17,1 Private Session,25000.0,1.0,studio,,,0.0,card,2025-02-21,19:15:00,19:45:00,11,scheduled,,2025-02-21 18:18:31,2025-02-21 18:18:31
153,274,19,10 Sessions,200000.0,,nan,,,,card,2025-06-18,17:45:00,18:45:00,11,scheduled,,2025-06-18 18:18:31,2025-06-18 18:18:31
154,714,25,30 Sessions,550000.0,30.0,instructor,8,,0.0,orange_money,2025-03-04,07:15:00,08:15:00,8,scheduled,,2025-03-04 18:18:31,2025-03-04 18:18:31
155,236,24,30 Sessions +,825000.0,30.0,instructor,10,,1.0,card,2025-04-22,13:30:00,14:00:00,11,scheduled,,2025-04-22 18:18:31,2025-04-22 18:18:31
156,507,9,1 Session,5000.0,1.0,studio,,,0.0,card,2025-02-27,09:30:00,10:15:00,7,scheduled,,2025-02-27 18:18:31,2025-02-27 18:18:31
157,235,7,20 Sessions +,570000.0,20.0,instructor,5,,1.0,cash,2025-05-24,14:45:00,16:00:00,7,scheduled,,2025-05-24 18:18:31,2025-05-24 18:18:31
158,112,7,20 Sessions +,570000.0,20.0,instructor,6,,1.0,card,2025-07-08,07:30:00,08:30:00,11,scheduled,,2025-07-08 18:18:31,2025-07-08 18:18:31
159,744,2,10 Sessions,200000.0,,nan,,,,orange_money,2025-04-09,19:00:00,19:30:00,2,scheduled,,2025-04-09 18:18:31,2025-04-09 18:18:31
